Ссылка;Текст
http://devanswers.ru/a/0b;ЭТОТ КОД ПЕДАЛИЛИ СЕМЬ ЧЕЛОВЕК!
http://devanswers.ru/a/0c;НУ ТАК ОТ ИНДУСОВ ЖЕ ПРОЕКТ ЗАШЕЛ!
http://devanswers.ru/a/0d;ДЛЯ НАС ЭТО НОВАЯ ТЕХНОЛОГИЯ, ПОЙМИТЕ ПРАВИЛЬНО
http://devanswers.ru/a/0e;А ЭТО РАЗВЕ НЕ ИЗ СВЕЖЕГО БЭКАПА ПОДНЯЛИ?
http://devanswers.ru/a/0f;Я ПРЕДЛАГАЮ ОСТАВИТЬ ВСЕ КАК ЕСТЬ ДО СЛЕДУЮЩЕЙ ИТЕРАЦИИ
http://devanswers.ru/a/0g;Я ПРОБОВАЛ НАПИСАТЬ УНИВЕРСАЛЬНЫЙ МОДУЛЬ НА БУДУЩЕЕ
http://devanswers.ru/a/0h;ТАК ИСТОРИЧЕСКИ СЛОЖИЛОСЬ НА ПРОЕКТЕ
http://devanswers.ru/a/0i;СКОЛЬКО ТУТ РАБОТАЮ — ПЕРВЫЙ РАЗ ТАКОЕ С ОТОБРАЖЕНИЕМ
http://devanswers.ru/a/0j;НАШ ДЖУНИОР УМУДРИЛСЯ ПОЛОЖИТЬ БАЗУ
http://devanswers.ru/a/1b;НИКТО НЕ ЗНАЕТ, ЧТО ЭТО, А ЧЕЛОВЕК УЖЕ УВОЛИЛСЯ
http://devanswers.ru/a/1c;ОНО НОРМАЛЬНО СМОТРИТСЯ, ТОЛЬКО ЕСЛИ НЕ ФУЛЛ-ХД
http://devanswers.ru/a/1d;А У МЕНЯ БЕЗ ПОДЕРГИВАНИЙ ПРОИГРЫВАЕТСЯ
http://devanswers.ru/a/1e;НЕТ, БЭКАПЫ ДЕЛАЮТСЯ ТОЛЬКО РАЗ В НЕДЕЛЮ
http://devanswers.ru/a/1f;ЕСЛИ ЭТО НЕ МЕШАЕТ ПОЛЬЗОВАТЕЛЯМ, ЛУЧШЕ НЕ ТРОГАТЬ
http://devanswers.ru/a/1g;Я ПРОСТО НЕ ВЫНОСИЛ В КОНФИГИ — ВСЕ РАВНО ПЕРЕДЕЛЫВАТЬ
http://devanswers.ru/a/1h;НУ ДАВАЙТЕ КАК-ТО ОБЫГРАЕМ ЭТО, МОЛ, ОБНОВЛЕНИЕ СЕРВЕРА И ВСЕ ТАКОЕ
http://devanswers.ru/a/1i;Я, ВООБЩЕ-ТО, НЕ ЗАНИМАЮСЬ СОПРОВОЖДЕНИЕМ
http://devanswers.ru/a/1j;ВЫ НЕ ДОЛЖНЫ ЭТОГО ХОТЕТЬ
http://devanswers.ru/a/2b;ЕГО ПО-БЫСТРОМУ ФИКСИЛИ МЕСЯЦ НАЗАД
http://devanswers.ru/a/2c;НУ, ПОЛЬЗОВАТЕЛЕЙ МАКА НЕ ТАК МНОГО...
http://devanswers.ru/a/2d;ПОСТАРАЙТЕСЬ НЕ ОБРАЩАТЬ ВНИМАНИЕ НА СООБЩЕНИЕ ОБ ОШИБКЕ, ПОТОМ ИСПРАВИМ
http://devanswers.ru/a/2e;НУ, ПУСКАЙ ДЕВОЧКИ ЗАНОВО НАБЕРУТ, МЫ НЕ ВОССТАНОВИМ...
http://devanswers.ru/a/2f;МЫ ПРОСТО ЕЩЕ НЕ ТЕСТИРОВАЛИ ПОД НАГРУЗКОЙ
http://devanswers.ru/a/2g;У МЕНЯ СЕСТРА-ШКОЛЬНИЦА СРАЗУ ПОНЯЛА, КУДА НАЖИМАТЬ
http://devanswers.ru/a/2h;МНЕ УЖЕ ДОСТАЛОСЬ В ТАКОМ СОСТОЯНИИ
http://devanswers.ru/a/2i;ВЕТКА ЧИФ ТЕПЕРЬ СМОТРИТ НА ПРОДАКШЕН, А МАСТЕР — НА ТЕСТЫ
http://devanswers.ru/a/2j;ПРЕДСТАВЬТЕ, ЧТО ЗДЕСЬ ЕСТЬ ЭТА КНОПКА
http://devanswers.ru/a/3b;БЛИН, ЧТО Ж ОНО ВЫЛЕЗЛО-ТО...
http://devanswers.ru/a/3c;НУ, ПОД ЛИНУКСОМ МАЛО КТО СИДИТ...
http://devanswers.ru/a/3d;С ЖЕЛЕЗОМ ПРОБЛЕМА
http://devanswers.ru/a/3e;НУ, ВОЗЬМИТЕ СТУДЕНТОВ, МЫ НЕ БУДЕМ ЭТО НАБИРАТЬ РУКАМИ
http://devanswers.ru/a/3f;ЧТОБЫ ВСЕ ЗАРАБОТАЛО, НУЖНО РУКАМИ ПЕРВУЮ ЗАПИСЬ В БАЗЕ СДЕЛАТЬ
http://devanswers.ru/a/3g;ДА КОМУ НУЖЕН АНДРОИД ВТОРОЙ ВЕРСИИ?
http://devanswers.ru/a/3h;А ОЛЯ МОГЛА ИМ СХОДУ НЕ ОБЕЩАТЬ ПО СРОКАМ, А ПОСОВЕТОВАТЬСЯ СНАЧАЛА?
http://devanswers.ru/a/3i;МЫ БЫ НА ГИТ ПЕРЕШЛИ, НО НЕ ВСЕ ЕГО ЗНАЮТ
http://devanswers.ru/a/4b;ТАК А МНЕ НЕ ПРИСЫЛАЛИ
http://devanswers.ru/a/4c;ИХ НЕ ТАК МНОГО, ЧТОБЫ ПОД НИХ ДЕЛАТЬ ОТДЕЛЬНУЮ ВЕРСИЮ
http://devanswers.ru/a/4d;НЕ МОЖЕТ БЫТЬ, МЫ ЭТОТ СЛУЧАЙ ОБРАБАТЫВАЕМ
http://devanswers.ru/a/4e;МЫ НЕ ХОТЕЛИ В ПЯТНИЦУ ВЫЛИВАТЬ НА ПРОД
http://devanswers.ru/a/4f;ЧТОБЫ ВСЕ ПОДНЯЛОСЬ, НУЖНО ПРАВА ВЫСТАВИТЬ
http://devanswers.ru/a/4g;НУ ТАМ БУДУТ ЧЕРНЫЕ РАМКИ, МЫ НЕ МОЖЕМ ФОТКИ ОБРЕЗАТЬ ПРОГРАММНО
http://devanswers.ru/a/4h;МЫ ЛОПАТИМ ТОННЫ ЛОГОВ, ПОТОМУ И ДОЛГО
http://devanswers.ru/a/4i;ВИРТУАЛКЕ РЕСУРСОВ МАЛО
http://devanswers.ru/a/5b;НА МНЕ И ТАК ЧЕТЫРЕ КРИТИКАЛ ТАСКА В ДЖИРЕ!
http://devanswers.ru/a/5c;У БОЛЬШИНСТВА ИЕ ДОЛЖЕН БЫЛ УЖЕ ОБНОВИТЬСЯ
http://devanswers.ru/a/5d;ТАМ НИЧЕГО НЕ МЕНЯЛОСЬ ЗА ПОСЛЕДНЮЮ НЕДЕЛЮ
http://devanswers.ru/a/5e;МЫ ПОСТОЯННО ЧИСТИМ БАЗУ, НО ОНА РАСТЕТ
http://devanswers.ru/a/5f;МЫ ЕЩЕ НЕ МЕРДЖИЛИСЬ С ТОЙ ВЕТКОЙ
http://devanswers.ru/a/5g;ЭТО НЕВОЗМОЖНО РЕШИТЬ ПРОГРАММНО
http://devanswers.ru/a/5h;ВОТ КТО ДАВАЛ ТАКИЕ ОЦЕНКИ, ТОТ ПУСКАЙ И ДЕЛАЕТ
http://devanswers.ru/a/5i;МЫ ЭТУ ФОРМУ УЖЕ РАЗ ДВАДЦАТЬ ПЕРЕДЕЛЫВАЛИ!
http://devanswers.ru/a/6b;НЕДОФИКСИЛ, ПОЛУЧАЕТСЯ...
http://devanswers.ru/a/6c;ТАК МЫ В ЛОГАХ ГЛЯНУЛИ — ЧЕЛОВЕК НА СТАРОЙ ОПЕРЕ ЗАШЕЛ!
http://devanswers.ru/a/6d;НУ КТО-ТО ЖЕ ЭТО ПОЛОМАЛ!
http://devanswers.ru/a/6e;ТАК БЫЛА ЖЕ ОТМАШКА ВСЕ ПООТКЛЮЧАТЬ!
http://devanswers.ru/a/6f;Я ЗАБЫЛ, ЧТО ТАМ ТЕСТОВЫЙ СЕРВЕР В КОНФИГАХ ПРОПИСАН
http://devanswers.ru/a/6g;ТАМ, В ПРИНЦИПЕ, ДОВОЛЬНО БЫСТРО РУКАМИ ВСЕ МОЖНО СКОНВЕРТИРОВАТЬ
http://devanswers.ru/a/6h;УСТРОИЛИ БАЛАГАН С ТРЕБОВАНИЯМИ!
http://devanswers.ru/a/6i;Я НЕ ДИЗАЙНЕР, КОНЕЧНО, НО ДИЗАЙН УНЫЛЫЙ
http://devanswers.ru/a/7b;А НА ТЕСТОВОМ СЕРВЕРЕ ВСЕ ПОДНИМАЛОСЬ
http://devanswers.ru/a/7c;ВЕРСТКА ТОЛЬКО ВНИЗУ РАСПОЛЗАЕТСЯ, ЕСЛИ ПРОКРУТИТЬ
http://devanswers.ru/a/7d;СКОРЕЕ ВСЕГО, ЭТО УЖЕ НЕ ПОВТОРИТСЯ
http://devanswers.ru/a/7e;ПОНАБИРАЛИ СЕОШНИКОВ — КОДИТЬ НЕКОМУ!
http://devanswers.ru/a/7f;Я ЗАБЫЛ, ЧТО ТАМ НАДО ОТКЛЮЧАТЬ ПРОВЕРКУ АЙПИ
http://devanswers.ru/a/7g;ТАМ ПРОСТО ПЕРЕХОД НА ЛЕТНЕЕ ВРЕМЯ НЕ УЧИТЫВАЛСЯ
http://devanswers.ru/a/7h;ЭТО НЕ ТРЕБОВАНИЯ, ЭТО ХОТЕЛКИ
http://devanswers.ru/a/7i;ТАМ НЕ ВСЕГДА АЙДИ КЛИЕНТА ПРИХОДИТ, ПОТОМУ И ВАЛИТСЯ
http://devanswers.ru/a/8b;ОНИ ФОРМАТ ОТВЕТА ПОМЕНЯЛИ
http://devanswers.ru/a/8c;НА НИХ ДАЖЕ ПИНГИ НЕ ИДУТ!
http://devanswers.ru/a/8d;Я НЕ МОГУ РАЗОРВАТЬСЯ МЕЖДУ ТАСКАМИ
http://devanswers.ru/a/8e;МЫ ПРОСТО НЕ УСПЕЛИ ПО ВРЕМЕНИ ЭТО СДЕЛАТЬ
http://devanswers.ru/a/8f;А, ТАМ ЖЕ НАДО БЫЛО ОТКЛЮЧАТЬ РЕАЛЬНЫЕ ПЛАТЕЖИ ПРИ ТЕСТАХ...
http://devanswers.ru/a/8g;Я ПОЧТИ УСПЕЛ, НО ПРИШЛОСЬ ПЕРЕКЛЮЧАТЬСЯ НА БАГФИКС
http://devanswers.ru/a/8h;Я ПО ЭТОМУ ТЗ РАБОТАТЬ НЕ БУДУ!
http://devanswers.ru/a/8i;ЧЕРТ, ЗАБЫЛ. СЕЙЧАС...
http://devanswers.ru/a/9b;НАВЕРНОЕ, В СПАМ ПОПАЛО ПО ОШИБКЕ
http://devanswers.ru/a/9c;А ОНО ПИНГУЕТСЯ?
http://devanswers.ru/a/9d;ЭТИМ ЗАНИМАЛСЯ ДРУГОЙ ОФИС
http://devanswers.ru/a/9e;ТАК ПРАЗДНИКИ БЫЛИ!
http://devanswers.ru/a/9f;А Я ДУМАЛ, ЧТО ДЕНЬГИ С ТЕСТОВОЙ КАРТОЧКИ НЕ СПИСЫВАЮТСЯ
http://devanswers.ru/a/9g;Я КОД-РЕВЬЮ БЫЛ ЗАНЯТ, ПОЭТОМУ НЕДОДЕЛАЛ
http://devanswers.ru/a/9h;ДА, МЫ ЧЕТЫРЕ МЕСЯЦА ВПЯТЕРОМ ПИСАЛИ ЯДРО
http://devanswers.ru/a/9i;БЛИН, НЕ СРАБОТАЛО. НАДО ПОДУМАТЬ ЕЩЕ...
http://devanswers.ru/a/Ab;А КАК ВЫ ВООБЩЕ НА ЭТУ СТРАНИЦУ ПОПАЛИ?
http://devanswers.ru/a/ac;СКРИПТ ПОДКЛЮЧИЛИ ДО ИНИЦИАЛИЗАЦИИ ДЖКВЕРИ
http://devanswers.ru/a/Ac;Я ПРОСИЛ СДЕЛАТЬ СКРИНШОТ, А НЕ ТОЛЬКО ОПИСАНИЕ
http://devanswers.ru/a/Ad;ВООБЩЕ СТРАННО, НЕ ДОЛЖНО БЫЛО ТАК
http://devanswers.ru/a/ad;ХОСТЕРЫ ОБЕЩАЛИ, НО НЕ ОБНОВИЛИ ВЕРСИЮ
http://devanswers.ru/a/Ae;МЫ ЭТО НЕ ОБСУЖДАЛИ НА ВСТРЕЧЕ
http://devanswers.ru/a/ae;Я С ЛИДОМ СОВЕТОВАЛСЯ — РЕШИЛИ ОТЛОЖИТЬ
http://devanswers.ru/a/Af;А Я ДУМАЛ, ЧТО ЭТО УЖЕ ПОФИКСИЛИ УТРОМ
http://devanswers.ru/a/af;ЕСЛИ БЫ НЕ ЗАДЕРЖКА С СЕРТИФИКАТАМИ, МЫ БЫ УСПЕЛИ
http://devanswers.ru/a/Ag;ДАЖЕ ЕСЛИ БЫ Я СДЕЛАЛ, НЕ УСПЕЛИ БЫ ПОТЕСТИТЬ
http://devanswers.ru/a/ag;ПОСТАНОВКА ЗАДАЧИ ПОДРАЗУМЕВАЛА ЭТО
http://devanswers.ru/a/ah;ВИНТ ПОСЫПАЛСЯ
http://devanswers.ru/a/Ah;ЭТО Я ТАКОЕ НАПИСАЛ?!
http://devanswers.ru/a/ai;НА ТРИ ДНЯ ПОЗЖЕ — НЕПРИЯТНО, НО ЧТО ПОДЕЛАТЬ
http://devanswers.ru/a/Ai;СЛИШКОМ МНОГО ВХОДНЫХ ДАННЫХ, ГОЛОВА ПУХНЕТ
http://devanswers.ru/a/aj;ДА, ТАСК ДОДЕЛАЛ. НУ, ТАМ ЕЩЕ ПОТЕСТИТЬ И ЗАДЕПЛОИТЬ, НО ТО ЕРУНДА
http://devanswers.ru/a/bb;НАВЕРНОЕ, У ВАС НЕ ВСЕ БИБЛИОТЕКИ УСТАНОВЛЕНЫ
http://devanswers.ru/a/Bb;ЮНИТ-ТЕСТЫ НЕ ПИСАЛИ ПОД ЭТУ ШТУКУ
http://devanswers.ru/a/Bc;ОНИ НЕ ДАЮТ ВСТРАИВАТЬ В ИФРЕЙМ
http://devanswers.ru/a/bc;ОНО ГДЕ-ТО В МОМЕНТ ОБРАБОТКИ УМИРАЕТ
http://devanswers.ru/a/Bd;ОКЕЙ, КАК МИНИМУМ У НАС ЕСТЬ НОРМАЛЬНОЕ СООБЩЕНИЕ ОБ ОШИБКЕ
http://devanswers.ru/a/bd;ТАМ КОНСОЛЬ ГЛЮЧИТ ПОЧЕМУ-ТО
http://devanswers.ru/a/Be;ПЕРЕУСТАНАВЛИВАЛ СКАЙП, ЛОГИ ПОХЕРИЛИСЬ
http://devanswers.ru/a/be;ТАМ НАСЛЕДОВАНИЕ ЧЕРЕЗ ЗАДНИЦУ
http://devanswers.ru/a/bf;ЧТОБЫ ТАКОГО БОЛЬШЕ НЕ БЫЛО, ПРОБУЙТЕ ОТКЛЮЧАТЬ АНТИВИРУС
http://devanswers.ru/a/Bf;Я ДУМАЛ, ЧТО ЭТО УЖЕ РЕАЛИЗОВАНО
http://devanswers.ru/a/Bg;ДАЖЕ ЕСЛИ ОНО ВЗЛЕТЕЛО БЫ, ВСЕ РАВНО ЕЩЕ РЕКЛАМУ НЕ ДАВАЛИ
http://devanswers.ru/a/bg;МЫ ЖЕ ОБСУЖДАЛИ ЭТО!
http://devanswers.ru/a/Bh;МЫ ФИЗИЧЕСКИ НЕ УСПЕВАЕМ
http://devanswers.ru/a/bh;ОЙ, КАЖЕТСЯ, Я НЕ ТУ ТАБЛИЦУ ДРОПНУЛ...
http://devanswers.ru/a/Bi;А ЕСЛИ МЫ ПЕРЕНЕСЕМ РЕЛИЗ?
http://devanswers.ru/a/bi;ПРОСТО ПО СОАПУ НЕ ОЧЕНЬ РЕЗВО БЕГАЕТ
http://devanswers.ru/a/bj;МОЖНО БЫЛО БЫ ПО УМУ ДЕЛАТЬ, НО НЕ СЕЙЧАС
http://devanswers.ru/a/cb;КОМП НЕ ПЕРЕГРУЗИЛИ ПОСЛЕ УСТАНОВКИ
http://devanswers.ru/a/Cb;МЫ ЭТО ТОЧНО ФИКСИЛИ!
http://devanswers.ru/a/cc;ДА ПОЛЬЗОВАТЕЛЬ ЭТОГО НЕ ЗАМЕТИТ ДАЖЕ!
http://devanswers.ru/a/Cc;НАВЕРНОЕ, С КИТАЙСКОГО ПЛАНШЕТА ЗАХОДИЛИ
http://devanswers.ru/a/Cd;НЕ УВЕРЕН, ЧТО ПРОБЛЕМА НА НАШЕЙ СТОРОНЕ
http://devanswers.ru/a/cd;Я ПЕРЕПРОБОВАЛ КУЧУ БИБЛИОТЕК, ЭТА ДОЛЖНА БЫЛА ЗАРАБОТАТЬ
http://devanswers.ru/a/ce;ТАМ НИ ОДНОГО КОММЕНТАРИЯ В КОДЕ
http://devanswers.ru/a/Ce;У НИХ БЫЛ ДЕНЬ НЕЗАВИСИМОСТИ, МЕНЕДЖЕРА НЕ БЫЛО
http://devanswers.ru/a/cf;МЫ ПРОСТО ЕЩЕ РЕДИРЕКТ НЕ ПОСТАВИЛИ
http://devanswers.ru/a/Cf;НУ, СКОЛЬКО ТАМ ЭТИХ ПОСЕТИТЕЛЕЙ...
http://devanswers.ru/a/cg;С НАШЕЙ СТОРОНЫ ПАКЕТЫ УХОДЯТ
http://devanswers.ru/a/Cg;ТАМ В ОДНОЙ РЕГУЛЯРКЕ ОШИБКА НЕБОЛЬШАЯ...
http://devanswers.ru/a/Ch;А ПОЧЕМУ ЭТО ЭЙЧАР РЕШАЕТ, А НЕ КОМАНДА?
http://devanswers.ru/a/ch;ЕСЛИ КРАКОЗЯБЛИКИ, ПОМЕНЯЙТЕ КОДИРОВКУ В БРАУЗЕРЕ
http://devanswers.ru/a/ci;НАС ЗАБАНИЛИ ЗА СПАМ — Я ЖЕ ПРЕДУПРЕЖДАЛ!
http://devanswers.ru/a/Ci;Я БЫ ИСПРАВИЛ, НО БОЮСЬ ЕЩЕ БОЛЬШЕ БАГОВ НАПЛОДИТЬ
http://devanswers.ru/a/cj;ТО, ЧТО ПАМЯТЬ ВСЮ ВЫЖИРАЕТ — ЭТО НОРМАЛЬНО, Я БЫ ТОЖЕ НЕ ОТКАЗАЛСЯ
http://devanswers.ru/a/Db;КТО-ТО СЛОМАЛ МОДУЛЬ
http://devanswers.ru/a/db;СКОРЕЕ ВСЕГО, АДМИНЫ НАПОРТАЧИЛИ
http://devanswers.ru/a/Dc;НАВЕРНОЕ, СТАРАЯ ПРОШИВКА, НА СВЕЖИХ ВСЕ ОК
http://devanswers.ru/a/dc;НУ, ЧУТОК МЕДЛЕННЕЕ БУДЕТ РАБОТАТЬ
http://devanswers.ru/a/Dd;А ВЫ ЗВОНИЛИ В ТЕХПОДДЕРЖКУ? ЧТО ГОВОРЯТ?
http://devanswers.ru/a/dd;ПАКЕТ КРИВО УСТАНОВИЛСЯ
http://devanswers.ru/a/De;ПРОЩЕ ПЕРЕПИСАТЬ ЗАНОВО
http://devanswers.ru/a/de;ТАМ ВСЕ ПОБИТО НА МИЛЛИОН ФАЙЛОВ
http://devanswers.ru/a/Df;КОМУ НАДО — ЗАЙДЕТ НА САЙТ ЕЩЕ РАЗ
http://devanswers.ru/a/df;ЭТА ФИЧА УРЕЗАННАЯ СЕЙЧАС
http://devanswers.ru/a/Dg;ЕСЛИ БЫ НЕ СОННАЯ ПОГОДА, Я БЫ УСПЕЛ
http://devanswers.ru/a/dg;НИКТО НЕ ЗНАЛ, ЧТО БУДУТ ФАМИЛИИ ЧЕРЕЗ ЧЕРТОЧКУ
http://devanswers.ru/a/Dh;БЕЗ ОБИД, НО ЛУЧШЕ БЫ ВЫ ОСТАЛИСЬ ВЕДУЩИМ ТЕСТЕРОМ В СВОЕ ВРЕМЯ
http://devanswers.ru/a/dh;ПАРОЛЬ ТРИ ЕДИНИЦЫ, КАК ОБЫЧНО
http://devanswers.ru/a/Di;ДАВАЙТЕ ВСЕ ОФИЦИАЛЬНО: ЗАВОДИТЕ ТИКЕТ, НАЗНАЧАЙТЕ НА МЕНЯ...
http://devanswers.ru/a/di;НЕТ, МЫ НЕ МОЖЕМ ПРОСТО КУПИТЬ ДИСК С ЕМЕЙЛАМИ И СДЕЛАТЬ РАССЫЛКУ
http://devanswers.ru/a/dj;ПОЧЕМУ-ТО ИЗ ЗАДЕРЖКИ НА НЕДЕЛЮ ДЕЛАЮТ ТРАГЕДИЮ
http://devanswers.ru/a/Eb;РАСПАРСИЛОСЬ НЕПРАВИЛЬНО, ОНИ НОВЫЙ ТЭГ ДОБАВИЛИ
http://devanswers.ru/a/eb;ЭТО В ГИТЕ НЕПРАВИЛЬНО СМЕРДЖИЛОСЬ
http://devanswers.ru/a/ec;ЗАПРОСОВ МНОГО, КОНЕЧНО, НО ЭТО ДАЖЕ ХОРОШО
http://devanswers.ru/a/Ec;ПОСЛЕДНИЙ РАЗ ТАКОЕ ЕЩЕ В ПРОШЛОЙ ВЕРСИИ ВЫСКАКИВАЛО
http://devanswers.ru/a/Ed;МЫ ПУСТУЮ СТРОКУ НЕ ОБРАБАТЫВАЕМ, ИЗВИНИТЕ
http://devanswers.ru/a/ed;ОЧЕНЬ ПОХОЖЕ НА ВИРУС
http://devanswers.ru/a/Ee;ОНО КАК БЫ РАБОТАЕТ, НО НАДО ТЕСТИТЬ
http://devanswers.ru/a/ee;ТАМ ОДИН ОГРОМНЫЙ ФАЙЛ
http://devanswers.ru/a/Ef;НУ, Я НЕ ПРОВЕРЯЛ ЕЩЕ, НО НЕ ПОХОЖЕ НА ВЗЛОМ
http://devanswers.ru/a/ef;РАССЫЛКАМИ НЕ МЫ ЗАНИМАЕМСЯ
http://devanswers.ru/a/eg;КТО ЗНАЛ, ЧТО КРОМЕ КОРПУСА, В АДРЕСЕ МОЖЕТ БЫТЬ ЕЩЕ И СТРОЕНИЕ?
http://devanswers.ru/a/Eg;У НАС В ОФИСЕ КОНДЕР СЛОМАЛСЯ, СЛОЖНО КОДИТЬ
http://devanswers.ru/a/eh;А У МЕНЯ СГЕНЕРЕННЫЙ ПДФ ЧИТАЕТСЯ НОРМАЛЬНО
http://devanswers.ru/a/Eh;ВОЗМОЖНО, КНОПКУ БЭК ЖАЛИ, А МЫ ПРОСИЛИ ТОЛЬКО ПО ССЫЛКАМ ХОДИТЬ
http://devanswers.ru/a/Ei;А ВЫ ЛОГАУТ НЕ НАЖАЛИ ПРИ ВЫХОДЕ!
http://devanswers.ru/a/ei;ИЗВИНИТЕ, МЫ НЕ МОЖЕМ ЗАПРЕТИТЬ ИМ ДЕЛАТЬ СКРИНШОТ САЙТА
http://devanswers.ru/a/ej;КОД-РЕВЬЮ НЕ ПОМОГАЕТ — РЕБЯТА НЕ ХОТЯТ ОБИЖАТЬ ДРУГ ДРУГА
http://devanswers.ru/a/Fb;ОШИБКА ТОЧНО НЕ У НАС
http://devanswers.ru/a/fb;ТАК У ВАС ЖЕ ВИНДА ЛОМАНАЯ, ЧЕГО ВЫ ХОТЕЛИ
http://devanswers.ru/a/fc;ЧЕСТНО ГОВОРЯ, ВСЕ ЗАБИЛИ НА ЭТОТ ТАСК
http://devanswers.ru/a/Fc;Я НЕ ТЕСТЕР!
http://devanswers.ru/a/fd;ЛИБА МУТНАЯ, ОНА С САМОГО НАЧАЛА СТРАННО РАБОТАЛА
http://devanswers.ru/a/Fd;Я ПОМНЮ ОБ ЭТОМ, СДЕЛАЮ КАК ОСВОБОЖУСЬ
http://devanswers.ru/a/Fe;ЕСЛИ НЕ ОТКРЫВАТЬ НА ПОЛНЫЙ ЭКРАН, ВСЕ НОРМАЛЬНО
