Ссылка;Текст
http://devanswers.ru/a/pe;ДА, ТАМ ЗАБЫЛИ ДОКУ ОБНОВИТЬ...
http://devanswers.ru/a/Pe;ЧТО-ТО С ПАПКОЙ ДЛЯ ПРЕВЬЮШЕК
http://devanswers.ru/a/Pf;В ФИНАЛЬНОЙ ВЕРСИИ ЭТОГО НЕ БУДЕТ, ЧЕСТНО
http://devanswers.ru/a/pf;ХУЖЕ, ЧЕМ ЕСТЬ, УЖЕ НЕ БУДЕТ
http://devanswers.ru/a/Pg;НАС ПРОСИЛИ ПОМЕНЯТЬ ЭТО В ПОСЛЕДНИЙ МОМЕНТ
http://devanswers.ru/a/pg;СКОРЕЕ ВСЕГО, ТАБЛИЦА В БАЗЕ ПОБИЛАСЬ
http://devanswers.ru/a/Ph;ДА НЕ ХОТЕЛОСЬ БЫ НА ВЫХОДНЫЕ В ОФИС ПРИХОДИТЬ...
http://devanswers.ru/a/ph;СЕЙЧАС В ТРЕНДЕ БЭКБОН
http://devanswers.ru/a/Pi;ДА, ТАМ ОТКУДА-ТО ПРОШЛОГОДНИЙ КУРС ДОЛЛАРА ВЫЛЕЗ В МАГАЗИНЕ...
http://devanswers.ru/a/pi;Я НЕ НАСТРАИВАЮ СЕРВЕРА, Я ПИШУ СКРИПТЫ
http://devanswers.ru/a/pj;Я ХОТЕЛ ОТВЕТИТЬ НА ПИСЬМО, НО ЧТО-ТО ПОМЕШАЛО
http://devanswers.ru/a/Qb;А ОН В ОТПУСК УШЕЛ И НИЧЕГО МНЕ НЕ ОСТАВЛЯЛ
http://devanswers.ru/a/qb;ДИЗАЙНЕР НАРИСОВАЛ ФИГНЮ КАКУЮ-ТО
http://devanswers.ru/a/qc;А ЧИСТИЛИ КЭШ?
http://devanswers.ru/a/Qc;МНОГО ЭЛЕМЕНТОВ, РЕНДЕРИТСЯ КАКОЕ-ТО ВРЕМЯ
http://devanswers.ru/a/Qd;ЗАБЫЛ ЗАКОММЕНТИТЬ. СЕЙЧАС...
http://devanswers.ru/a/qd;МЫ БЫ ТАК СДЕЛАЛИ, НО МЕСТА НА ДИСКЕ НЕ БЫЛО
http://devanswers.ru/a/qe;В ДОКАХ НЕ ВСЕ СЕЙЧАС ЕСТЬ, ЛУЧШЕ СПРАШИВАТЬ У ЛЕШИ
http://devanswers.ru/a/Qe;ШАБЛОНЫ НЕ ОТТУДА БЕРУТСЯ
http://devanswers.ru/a/qf;ВВОДИТЕ ПОКА ВСЕ В КОПЕЙКАХ, ПОТОМ ДОБАВИМ ТОЧКУ
http://devanswers.ru/a/Qf;ВЫ НЕПРАВИЛЬНО НАЖИМАЕТЕ
http://devanswers.ru/a/qg;ВСЕ НОРМАЛЬНО, ПОЛЬЗОВАТЕЛЬ НЕ ВИДИТ ЭТОЙ ОШИБКИ
http://devanswers.ru/a/Qg;ВЧЕРА БЫЛ ДЕНЬ РОЖДЕНИЯ, САМИ ПОНИМАЕТЕ...
http://devanswers.ru/a/qh;ВОССТАНОВЛЕНИЕ ПАРОЛЯ ПОКА НЕ РАБОТАЕТ, ДАВАЙТЕ РУКАМИ В БАЗЕ ПОМЕНЯЮ
http://devanswers.ru/a/Qh;ПОВЕРЬТЕ МОЕМУ ОПЫТУ, ЛУЧШЕ БЕЗ ДЖУМЛЫ
http://devanswers.ru/a/qi;ПОЖАЛУЙ, УЖЕ ПОЗДНО МЕНЯТЬ АРХИТЕКТУРУ
http://devanswers.ru/a/Qi;ЭТО ВСЕ ХОРОШО, КОНЕЧНО, НО КТО ЕГО БУДЕТ ДЕЛАТЬ?
http://devanswers.ru/a/qj;ОНА ЗАРАБОТАЛА И СНОВА ПЕРЕСТАЛА
http://devanswers.ru/a/rb;Я НЕ ДИЗАЙНЕР!
http://devanswers.ru/a/Rb;Я НЕ ЧИТАЛ КОММЕНТЫ К ТИКЕТУ
http://devanswers.ru/a/rc;В ЛОГАХ ЧИСТО
http://devanswers.ru/a/Rc;ЭТО НОРМАЛЬНО
http://devanswers.ru/a/Rd;ЗАБЫЛ УБРАТЬ ВЫВОД В КОНСОЛЬ
http://devanswers.ru/a/rd;ОНО В СВОП УХОДИТ
http://devanswers.ru/a/re;ЕСЛИ НЕ БУДЕТ ПУСКАТЬ, ПОПРОБУЙТЕ БОЛЬШИМИ БУКВАМИ
http://devanswers.ru/a/Re;НЕ ВСЕ ФАЙЛЫ ЗАЛИЛИСЬ
http://devanswers.ru/a/Rf;У ВАС НАСТРОЙКИ БЕЗОПАСНОСТИ ПОВЫШЕННЫЕ В БРАУЗЕРЕ
http://devanswers.ru/a/rf;УДАЛЯЙТЕ ПОКА ПО ОДНОМУ, ДЛЯ ДВУХ СОТЕН ТОВАРОВ ПИСАТЬ ПАКЕТНОЕ УДАЛЕНИЕ НЕТ СМЫСЛА
http://devanswers.ru/a/Rg;ЗАТО ТАМ ЗАЛОЖЕНА ВОЗМОЖНОСТЬ МЕНЯТЬ ВСЕ ИЗ КОНФИГА
http://devanswers.ru/a/rg;МЫ НЕ СТАЛИ ДОБАВЛЯТЬ ЭФФЕКТЫ, ЧТОБЫ НЕ ПУГАТЬ ПОЛЬЗОВАТЕЛЯ
http://devanswers.ru/a/Rh;ВАС ВЫКИНУЛО, ПОТОМУ ЧТО Я ПОД ВАМИ ЗАШЕЛ
http://devanswers.ru/a/rh;ДАВАЙТЕ ТОЛЬКО ВКОНТАКТЕ, ЗАЧЕМ ВАМ ПЕНСИОНЕРЫ С ОДНОКЛАССНИКОВ?
http://devanswers.ru/a/Ri;В ПОСЛЕДНЕЕ ВРЕМЯ МНЕ ХОЧЕТСЯ СТАТЬ ДЖУНИОРОМ И НИ ЗА ЧТО НЕ ОТВЕЧАТЬ
http://devanswers.ru/a/ri;ВЕЛОСИПЕД, КОНЕЧНО, А ЧТО ВЫ ХОТЕЛИ
http://devanswers.ru/a/rj;КАКИЕ-ТО АРТЕФАКТЫ ПОЯВИЛИСЬ...
http://devanswers.ru/a/sb;БУХГАЛТЕРИЯ НЕ ПРОПЛАТИЛА ХОСТИНГ
http://devanswers.ru/a/Sb;У МЕНЯ НЕ ПРОЧИТАЛОСЬ С ФЛЕШКИ
http://devanswers.ru/a/sc;БАГ-РЕПОРТОВ НЕ БЫЛО
http://devanswers.ru/a/Sc;ТАК ТАМ ЖЕ НА ДОТНЕТЕ ВСЕ!
http://devanswers.ru/a/Sd;ЗАБЫЛ ПОЧИСТИТЬ ЛОГИ
http://devanswers.ru/a/sd;ТАМ ТЕТКА У ЗАКАЗЧИКА НЕВМЕНЯЕМАЯ
http://devanswers.ru/a/se;ЕСЛИ НЕ СМОЖЕТЕ ОТПРАВИТЬ ЧЕРЕЗ ФОРМУ, ПЕРЕЛОГИНЬТЕСЬ
http://devanswers.ru/a/Se;ЗАДЕПЛОИЛОСЬ, НО НЕ СТАРТОНУЛО
http://devanswers.ru/a/sf;ТАМ ПРИХОДИТ КАКОЙ-ТО ОТВЕТ, НО МЫ ЕГО НЕ ОБРАБАТЫВАЕМ
http://devanswers.ru/a/Sf;ЭКСПОРТ ИЗ БАЗЫ НАДО НАСТРАИВАТЬ САМИМ
http://devanswers.ru/a/Sg;ТРИ СЕКУНДЫ ЗАГРУЗКИ — МНОГОВАТО, НО ТЕРПИМО
http://devanswers.ru/a/sg;ЭТО НЕ ШРИФТ МЕЛКИЙ, ЭТО МОНИТОР БОЛЬШОЙ
http://devanswers.ru/a/sh;НАС НИКТО НЕ БУДЕТ ВЗЛАМЫВАТЬ
http://devanswers.ru/a/Sh;НУ ДАВАЙТЕ ТРОЙНОЕ ПОДТВЕРЖДЕНИЕ УДАЛЕНИЯ СДЕЛАЮ, Я УЖЕ НЕ ЗНАЮ...
http://devanswers.ru/a/si;МЫ ПРОСТО НАКАТЫВАЕМ ИЗМЕНЕНИЯ БЕЗ ПРОВЕРКИ ОШИБОК
http://devanswers.ru/a/Si;ЭТО ЧТО, СИНЬОР ДЕВЕЛОПЕР ПИСАЛ?
http://devanswers.ru/a/sj;ДЛЯ КОД-РЕВЬЮ НУЖЕН КОД, А ЭТО НАЗВАТЬ КОДОМ СЛОЖНО...
http://devanswers.ru/a/Tb;АРХИВ БИТЫЙ
http://devanswers.ru/a/tb;КОНЕЧНО, Я НЕ ЗНАЮ ИСПАНСКИЙ, ПОЭТОМУ НАПИСАЛ НА КНОПКЕ ПО-РУССКИ
http://devanswers.ru/a/tc;А ОБНОВИТЬ ПРОБОВАЛИ? КОНТРОЛ-ЭФ-ПЯТЬ
http://devanswers.ru/a/Tc;НУ, ЕСЛИ БЫ ТАМ НА ДЖАВЕ БЫЛО...
http://devanswers.ru/a/td;А Я ГОВОРИЛ, ЧТО НУЖНО БЫЛО ЕЩЕ ЧЕЛОВЕКА БРАТЬ
http://devanswers.ru/a/Td;У НАС УЖЕ БЫЛО ТАКОЕ, РЕШИЛИ ПЕРЕУСТАНОВКОЙ
http://devanswers.ru/a/te;Я ПОД ДРУГИМ АККУАНТОМ В ГУГЛЕ, НЕ СМОГ ПРОЧИТАТЬ ДОКУМЕНТ
http://devanswers.ru/a/Te;Я СМОТРЕЛ В КОД, ЭТО ТОЧНО НЕ ЗДЕСЬ
http://devanswers.ru/a/tf;НЕВАЛИДНЫЙ ДЖЕЙСОН ФОРМИРУЕТСЯ
http://devanswers.ru/a/Tf;ЭТОТ ЭЛЕМЕНТ НЕ МОЖЕТ ПРИНАДЛЕЖАТЬ ДВУМ КАТЕГОРИЯМ ОДНОВРЕМЕННО
http://devanswers.ru/a/Tg;НАВЕРНОЕ, ПЕРЕПУТАЛ МЕСТАМИ ЛОГИН И ПАРОЛЬ
http://devanswers.ru/a/tg;Я БЫ НЕ БЫЛ ТАК УВЕРЕН В ТОМ, ЧТО НАС ВЗЛОМАЛИ
http://devanswers.ru/a/Th;ВОТ ВИДИТЕ, НЕ СДЕЛАЛИ — И ПЕРЕДЕЛЫВАТЬ НЕ ПРИШЛОСЬ
http://devanswers.ru/a/th;НЕДОРЕФАКТОРИЛИ
http://devanswers.ru/a/ti;ДАВАЙТЕ КТО-ТО ОДИН ИЗ ВАШЕГО ОТДЕЛА ОБЪЯСНИТ, ЧТО НЕ РАБОТАЕТ
http://devanswers.ru/a/Ti;ДАЙТЕ МНЕ КРЕПКОГО МИДДЛА, И МЫ СВЕРНЕМ ГОРЫ!
http://devanswers.ru/a/tj;СРАЗУ В ТАСК-ТРЕКЕРЕ НЕ ОТМЕТИЛ И ЗАБЫЛ
http://devanswers.ru/a/Ub;НА СТОРОНЕ ЮЗЕРА КРИВО НАСТРОЕН ФАЙРВОЛЛ
http://devanswers.ru/a/ub;НЕ БЫЛО ИНЕТА
http://devanswers.ru/a/uc;МЫ НА ТАКИЕ ОБЪЕМЫ ДАННЫХ НЕ РАССЧИТЫВАЛИ
http://devanswers.ru/a/Uc;ТАМ ГРЕМУЧАЯ СМЕСЬ ИЗ РНР, ДЖАВЫ И ПЕРЛА
http://devanswers.ru/a/ud;А Я ГОВОРИЛ, ЧТО НЕ ЗАВЕДЕТСЯ СРАЗУ
http://devanswers.ru/a/Ud;НУ, ПОЛГОДА — ЭТО МНОГО, ДА, НО И ПРИОРИТЕТ ЖЕ НИЗКИЙ
http://devanswers.ru/a/ue;НАВЕРНОЕ, Я РАНЬШЕ УШЕЛ ТОГДА
http://devanswers.ru/a/Ue;РЕДАКТОР ПОДГЛЮЧИВАЕТ
http://devanswers.ru/a/Uf;БОЮСЬ, ЧТО ВЫ КОНТЕНТОМ КАК-ТО НЕ ТАК НАПОЛНЯЕТЕ
http://devanswers.ru/a/uf;ПОКА ДВОЙНЫЕ КАВЫЧКИ ВВОДИТЕ КАК ДВЕ ОДИНАРНЫЕ
http://devanswers.ru/a/Ug;НАБЕРИТЕ ДЖУНИОРОВ, ПУСКАЙ ОНИ ПИШУТ!
http://devanswers.ru/a/ug;НЕ МОЖЕТ БЫТЬ, У НАС КЛЮЧ 128-БИТНЫЙ
http://devanswers.ru/a/Uh;А ЧТО, КРАСНАЯ ЗВЕЗДОЧКА ВОЗЛЕ ПОЛЯ — НЕПОНЯТНО?
http://devanswers.ru/a/uh;ТАМ ПО ЦЕПОЧКЕ ПОШЛИ БАГИ
http://devanswers.ru/a/Ui;С ПЕРВОГО РАЗА НЕ ЗАВЕЛОСЬ
http://devanswers.ru/a/ui;ЧТО ИМЕННО НЕ РАБОТАЕТ?
http://devanswers.ru/a/uj;А ХОТИТЕ, МЫ ВАМ КАК КОМПЕНСАЦИЮ БЕСПЛАТНО СЧЕТЧИКИ ПРИКРУТИМ?
http://devanswers.ru/a/vb;НЕ БЫЛО СВЕТА, А СВИТЧИ НА УПСЫ НЕ ЗАВЕДЕНЫ
http://devanswers.ru/a/Vb;У ВАС В БРАУЗЕРЕ ЗАКЕШИРОВАЛОСЬ
http://devanswers.ru/a/vc;БОЛЬШЕ МЕГАБАЙТА НЕ ВЛЕЗЕТ В ЭТО ПОЛЕ
http://devanswers.ru/a/Vc;ТАМ ТУПО ДОКУПАЮТ СЕРВЕРА
http://devanswers.ru/a/vd;Я ПРОСТО ЭТО В ГОЛОВЕ ДЕРЖАЛ ДОЛГО, А ПОТОМ ЗАБЫЛ
http://devanswers.ru/a/Vd;Я ХОТЕЛ ЭТО В РЕПОРТЕ ДОБАВИТЬ
http://devanswers.ru/a/ve;ИНЕТ ДИКО ТОРМОЗИЛ, ПРИШЛОСЬ ОТЛОЖИТЬ
http://devanswers.ru/a/Ve;ТАМ ФАЙЛОВ НЕХВАТАЕТ
http://devanswers.ru/a/Vf;ЖДАЛ, ПОКА ДИЗАЙНЕР ВСЕ ОТДАСТ
http://devanswers.ru/a/vf;ОБРАТНЫЙ СЛЭШ УДАЛЯЙТЕ РУКАМИ, ЭТО В БАЗУ НЕПРАВИЛЬНО ПОЛОЖИЛИ
http://devanswers.ru/a/vg;ЭТО ГУРУ ПИСАЛ, ТАМ ВСЕ ХОРОШО ПО ОПРЕДЕЛЕНИЮ
http://devanswers.ru/a/Vg;ЭТО НЕ БАГ, ЭТО ФИЧА
http://devanswers.ru/a/Vh;А ДИЗАЙНЕР В КУРСЕ ПРО АНИМИРОВАННЫЙ ГИФ?
http://devanswers.ru/a/vh;НОДА НЕ ПОДНЯЛАСЬ
http://devanswers.ru/a/vi;А КАК, ПО ВАШЕМУ МНЕНИЮ, ОНО ДОЛЖНО БЫЛО РАБОТАТЬ?
http://devanswers.ru/a/Vi;Я ЕМУ НА СЛОВАХ ИНТЕРФЕЙС РАССКАЗЫВАЛ
http://devanswers.ru/a/vj;А ВЫ КОГДА-НИБУДЬ ВИДЕЛИ НАЗВАНИЯ ПЕРЕМЕННЫХ НА ПОЛЬСКОМ?
http://devanswers.ru/a/wb;ЗАБЫЛ ПОСТАВИТЬ ЗАПЯТУЮ
http://devanswers.ru/a/Wb;У ВАС ЧЕРЕЗ ПРОКСИ ИДЕТ, ПОЭТОМУ НЕ РАБОТАЕТ
http://devanswers.ru/a/wc;КОД СЧЕТЧИКА ВСТАВИЛ ТАКОЙ, КАКОЙ ДАЛИ
http://devanswers.ru/a/Wc;МЫ БОИМСЯ ЭТО ТРОГАТЬ
http://devanswers.ru/a/Wd;МЫ НЕ ОРИЕНТИРУЕМСЯ НА ИНОСТРАНЦЕВ, А У НАШИХ КИРИЛЛИЦА ЕСТЬ
http://devanswers.ru/a/wd;Я У СТОМАТОЛОГА БЫЛ, КОГДА ВЫ МИТИНГ ПРОВОДИЛИ
http://devanswers.ru/a/We;НУ, ДАЖЕ ЕСЛИ УПАДЕТ — ПОДЫМЕМ
http://devanswers.ru/a/we;Я ПОПРОБУЮ, НО НЕ ОБЕЩАЮ
http://devanswers.ru/a/Wf;ВЕРСТАЛЬЩИК КРИВО НАВЕРСТАЛ
http://devanswers.ru/a/wf;ПОЗЖЕ ПОФИКСИМ
http://devanswers.ru/a/wg;НУ, ДЕДЛАЙН ЖЕ ПРИБЛИЗИТЕЛЬНО ВЫСТАВЛЯЛСЯ...
http://devanswers.ru/a/Wg;НУ, Я КАК БЫ УЖЕ НЕ ПЕРВЫЙ ГОД НА ВОРДПРЕССЕ ПИШУ...
http://devanswers.ru/a/wh;НИКАК НЕ НАПИШЕМ СКРИПТ ДЛЯ ЭТОГО
http://devanswers.ru/a/Wh;ПОХОЖЕ, АДМИНКУ НЕ ЗАКРЫВАЛИ...
http://devanswers.ru/a/wi;А ПОЧЕМУ ВЫ РЕШИЛИ, ЧТО ТАКОЕ ПОВЕДЕНИЕ НЕПРОЗРАЧНО ДЛЯ ЮЗЕРА?
http://devanswers.ru/a/Wi;ИНОГДА ПРОЩЕ НА ЖИВОМ СЕРВЕРЕ ПОПРАВИТЬ ПО-БЫСТРОМУ
http://devanswers.ru/a/wj;НЕ ВОЛНУЙТЕСЬ, ЭТО НЕКРИТИЧНО ДЛЯ ПРОЕКТА
http://devanswers.ru/a/Xb;АЙПИШНИК НЕ ДОБАВИЛИ В ЛИСТ
http://devanswers.ru/a/xb;ЭТОТ КОД ОТ ВАЛЕРЧИКА ДОСТАЛСЯ
http://devanswers.ru/a/xc;А ГДЕ НАПИСАНО, ЧТО ОНО НЕ МОЖЕТ МИГАТЬ ПРИ ОТРИСОВКЕ?
http://devanswers.ru/a/Xc;ДНС НЕ ПРОПИСАЛСЯ, НАДО ЖДАТЬ
http://devanswers.ru/a/Xd;КОДИРОВКА ГДЕ-ТО ПОБИЛАСЬ
http://devanswers.ru/a/xd;Я ПОТЕРЯЛ БУМАЖКУ С АЙПИШНИКОМ, ПЫТАЛСЯ ПО ПАМЯТИ
http://devanswers.ru/a/Xe;ВОТ БУДУТ ПРОБЛЕМЫ — ТОГДА И ПИШИТЕ
http://devanswers.ru/a/xe;КАКОЙ-ТО ДЕМОН ЗАСИРАЕТ ПАМЯТЬ
http://devanswers.ru/a/Xf;ЖДАЛ ВАШЕГО ПИСЬМА, НО ТАК И НЕ ДОЖДАЛСЯ
http://devanswers.ru/a/xf;НУ РАБОТАЕТ ЖЕ!
http://devanswers.ru/a/xg;НУ, ВЫ ЖЕ НЕ ГОВОРИЛИ, ЧТО ЭТО ОКОНЧАТЕЛЬНЫЙ ДЕДЛАЙН
http://devanswers.ru/a/Xg;СТРАШНОЕ, ПОТОМУ ЧТО ЦСС ОТПАЛ
http://devanswers.ru/a/Xh;МДА, НЕ ВОВРЕМЯ МЫ ОБНОВИЛИСЬ...
http://devanswers.ru/a/xh;МЫ ПОКА РУКАМИ ДЕРГАЕМ, ПОТОМ НА КРОН ЗАВЕСИМ
http://devanswers.ru/a/Xi;ГДЕ-ТО ЧТО-ТО ПЕРЕИНИЦИАЛИЗИРУЕТСЯ
http://devanswers.ru/a/xi;Я ТАКИЕ ОКОШКИ ВО ВСЕХ СВОИХ ПРОЕКТАХ ДЕЛАЮ
http://devanswers.ru/a/xj;А ТОЛКУ СМОТРЕТЬ В ДОКУ, ЕСЛИ ЕЕ НИКТО НЕ ОБНОВЛЯЕТ?
http://devanswers.ru/a/Yb;ПАРОЛЬ НЕ ПОДОШЕЛ
http://devanswers.ru/a/yb;ЭТОТ МОДУЛЬ САНЯ ДЕЛАЛ, НЕ Я
http://devanswers.ru/a/yc;НУ ТАК ВЫ ИЗ ГЛАВНОГО МЕНЮ ПРОБОВАЛИ, А НАДО ПО ПРАВОЙ КНОПКЕ
http://devanswers.ru/a/Yc;ПРОШЛЫЙ РАЗ ТРОНУЛИ — ТРИ ЧАСА ВОССТАНАВЛИВАЛИ
http://devanswers.ru/a/yd;НУ ОНО РЕАЛЬНО НОРМАЛЬНО ВЫГЛЯДЕЛО!
http://devanswers.ru/a/Yd;ОБЫЧНО ПРИХОДИТ ПИСЬМО, ЕСЛИ ГДЕ-ТО ОШИБКА
http://devanswers.ru/a/ye;ОНО НЕ РЕСТАРТНУЛОСЬ САМО
http://devanswers.ru/a/Ye;ЭТО ПОТЕНЦИАЛЬНО ВОЗМОЖНО, НО НА ПРАКТИКЕ ЕЩЕ НЕ БЫЛО, ЧТОБЫ СОВПАЛО ТАК
http://devanswers.ru/a/yf;ЗАБЫЛИ КОНВЕРТНУТЬ В ЕВРО
http://devanswers.ru/a/Yf;НЕВАЖНО СЕБЯ ЧУВСТВОВАЛ
http://devanswers.ru/a/yg;БЫЛ НА СЕМИНАРЕ, ПОЭТОМУ СДВИГАЕМ ВСЕ НА ДЕНЬ
http://devanswers.ru/a/Yg;ДАВАЙТЕ РЕШИМ ПРОБЛЕМУ ОРГАНИЗАЦИОННО И ПРОСТО ЗАКОММЕНТИРУЕМ ТОТ КУСОК
http://devanswers.ru/a/Yh;ОКЕЙ, ХОТИТЕ ТАК — СДЕЛАЕМ ТАК, НО МЫ ПРЕДУПРЕЖДАЛИ
http://devanswers.ru/a/yh;ТУТ ЕСТЬ СЕКРЕТНЫЙ ГЕТ-ПАРАМЕТР...
http://devanswers.ru/a/yi;КОПИПАСТ, ГОВОРИТЕ? НУ ДА, КОПИПАСТ...
http://devanswers.ru/a/Yi;ЧТО-ТО С ЧЕМ-ТО НЕ ДРУЖИТ В ЭТОЙ СБОРКЕ
http://devanswers.ru/a/yj;К СОЖАЛЕНИЮ, ЭТО ФРЕМЙВОРК ГЕНЕРИТ ТАКИЕ ЗАПРОСЫ
http://devanswers.ru/a/Zb;КТО-ТО ТЭГ НЕ ЗАКРЫЛ
http://devanswers.ru/a/zb;ТАМ ЛЕША ОБЕЩАЛ ПОФИКСИТЬ ВСЕ
http://devanswers.ru/a/Zc;ТАМ, ПОДОЗРЕВАЮ, ВООБЩЕ ВСЕ ПЛОХО С ПАМЯТЬЮ
http://devanswers.ru/a/zc;Я ТАКОГО ГОВНОКОДА ЕЩЕ НЕ ВИДЕЛ
http://devanswers.ru/a/zd;Я ПРОСТО С ТАКИМ НЕ РАБОТАЛ РАНЬШЕ
http://devanswers.ru/a/Zd;Я ЭТО НЕ ФИКСИЛ, ТАМ ДОФИГА ВСЕГО
http://devanswers.ru/a/ze;А ВЫ РАЗВЕ НЕ ДЕЛАЛИ БЭКАПЫ?
http://devanswers.ru/a/Ze;ЖАЛЬ, МЫ НЕ УСПЕЛИ ПЕРЕД ДЕПЛОЕМ ПОТЕСТИТЬ
http://devanswers.ru/a/zf;СКОРО ИСПРАВИМ, ДАВАЙТЕ НЕ ЗАЦИКЛИВАТЬСЯ
http://devanswers.ru/a/Zf;ЭТОГО НЕ БЫЛО В ТЗ!
http://devanswers.ru/a/zg;ВСЕ ЛОГИЧНО: ЕСЛИ НЕ ТРЕБОВАЛОСЬ — НЕ ДЕЛАЛИ
http://devanswers.ru/a/Zg;ЕСЛИ БЫ МЫ ВСЕ ЛОГИРОВАЛИ, ВЫ БЫ РАЗОРИЛИСЬ НА ДИСКАХ
http://devanswers.ru/a/Zh;ВОТ УЖ НЕ ДУМАЛ, ЧТО ЭТА ДРЕВНЯЯ ЛИБА ГДЕ-ТО ИСПОЛЬЗОВАЛАСЬ
http://devanswers.ru/a/zh;ЕСЛИ ОШИБКА, ТО ДЕНЬГИ ВСЕ РАВНО СНИМАЕТ
http://devanswers.ru/a/Zi;ПЛЮС — МЫ ЕГО ДОДЕЛАЛИ, МИНУС — ОНО НЕ РАБОТАЕТ
http://devanswers.ru/a/zi;СТОЛЬКО ПРОБЛЕМ, КАК У ВАС, НИ У ОДНОГО КЛИЕНТА НЕ БЫЛО
